Seconds,Amps,Volts,State,Step,Cycle,Ah
0.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
10.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
20.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
30.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
40.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
50.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
60.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
70.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
80.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
90.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
100.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
110.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
120.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
130.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
140.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
150.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
160.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
170.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
180.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
190.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
200.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
210.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
220.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
230.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
240.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
250.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
260.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
270.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
280.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
290.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
300.0,-0.0,4.176192627369531,R,1.0,1.0,0.0
