Seconds,Amps,Volts,Ah
0.0,-0.0018900350580225,4.098063903,0.0
10.0,-0.0018897874764598,4.097726057976827,5.249753520114488e-06
20.0,-0.0018901236166431,4.097388311600354,1.0499630038313146e-05
30.0,-0.0018907996611899,4.097050581808843,1.5750912368636828e-05
40.0,-0.0018920531003874,4.096712786804351,2.100487453749424e-05
50.0,-0.0018817594384037,4.096375905956281,2.624628084137092e-05
60.0,-0.0018923965477089,4.096039101075127,3.14881641554164e-05
70.0,-0.0018892247981621,4.0957017368721065,3.674041602468185e-05
80.0,-0.001889393970572,4.095364747571025,4.1988497647923824e-05
90.0,-0.0018896084225726,4.0950278309872825,4.723711208284704e-05
100.0,-0.0018896829834701,4.094690995549166,5.248612792457317e-05
110.0,-0.0018900601112425,4.094354226810079,5.77357711116742e-05
120.0,-0.0018899841208308,4.094017538241099,6.298583254510951e-05
130.0,-0.0018899247321863,4.093680968737725,6.823570595207784e-05
140.0,-0.0018899119587821,4.093344512639639,7.348547913397859e-05
150.0,-0.0018902569277923,4.093008133948819,7.873571369866544e-05
160.0,-0.0018905117320647,4.0926718088956315,8.398678128180034e-05
170.0,-0.0018905690977713,4.092335563093152,8.923828243435046e-05
180.0,-0.0018906855492234,4.09199940884889,9.449002499962092e-05
190.0,-0.0018905844049433,4.091663360254982,9.974178882485254e-05
200.0,-0.0018905067095833,4.091327434592395,0.0001049933042616
210.0,-0.0018903596380933,4.090991635923922,0.0001102445075223
220.0,-0.0018902333147663,4.090655968515619,0.0001154953310679
230.0,-0.0018901299570867,4.090320428483381,0.0001207458356122
240.0,-0.0018900690188745,4.089985010012977,0.0001259961119677
250.0,-0.0018900464628144,4.089649705912011,0.0001312462723589
260.0,-0.001890037835253,4.089314511503296,0.0001364963894396
270.0,-0.0018901510788024,4.088979414759024,0.0001417466518202
280.0,-0.001892211710776,4.088644232349383,0.0001469999334724
290.0,-0.001893863536166,4.088308828097765,0.0001522583713154
300.0,-0.0018936133599358,4.0879734069908675,0.0001575187558933
310.0,-0.001889970771117,4.087638437851036,0.0001627737338531
320.0,-0.0018912752020372,4.087303782764092,0.0001680254643714
330.0,-0.0018927387601608,4.086968989773959,0.0001732810393189
340.0,-0.0018940879392185,4.086634055119675,0.0001785405208458
350.0,-0.0018951050633369,4.086299018527501,0.0001838032889049
360.0,-0.0018954935635119,4.0859639651137405,0.0001890680092199
370.0,-0.0018950499624754,4.085629024116978,0.000194332653006
380.0,-0.001893549795248,4.085294362264578,0.000199594597114
390.0,-0.001890760624051,4.084960186416176,0.0002048505838075
400.0,-0.0019018243396792,4.084625387101465,0.0002101180629237
410.0,-0.0019169539482084,4.084288384142744,0.0002154219216569
420.0,-0.0019296087025162,4.083949039781026,0.0002207643697829
430.0,-0.0019366811347919,4.083608066362367,0.0002261342167792
440.0,-0.0019350646684352,4.083266723181984,0.0002315116415059
450.0,-0.001921653644532,4.082926815452108,0.0002368681947184
460.0,-0.0018937281785161,4.082590659148993,0.0002421673361393
470.0,-0.0019540890903345,4.082251754890336,0.0002475115267904
480.0,-0.0019915577430004,4.081904349028816,0.0002529915918367
490.0,-0.0019972737479725,4.08155325823141,0.0002585316355742
500.0,-0.0019762246356026,4.081203633708327,0.0002640503833292
510.0,-0.0019333962161861,4.080859743063189,0.00026948041229
