Seconds,Amps,Volts,Ah
0.0,-0.0018900350580225373,4.099305286355866,0.0
10.0,-0.0018897874764598934,4.098148126123556,5.249753520114488e-06
20.0,-0.0018901236166431411,4.097526778577017,1.0499630038313146e-05
30.0,-0.0018907996611899093,4.09700520691784,1.5750912368636828e-05
40.0,-0.0018920531003874261,4.09653204693794,2.100487453749424e-05
50.0,-0.0018817594384037835,4.096094997234632,2.6246280841370917e-05
60.0,-0.0018923965477089626,4.09567865267548,3.14881641554164e-05
70.0,-0.0018892247981621597,4.095280323524534,3.674041602468185e-05
80.0,-0.0018893939705720603,4.094894630349481,4.1988497647923824e-05
90.0,-0.0018896084225726575,4.094520046630311,4.723711208284704e-05
100.0,-0.0018896829834701586,4.0941548832624415,5.248612792457317e-05
110.0,-0.0018900601112425831,4.093797325525855,5.77357711116742e-05
120.0,-0.0018899841208308416,4.093446061560411,6.298583254510951e-05
130.0,-0.0018899247321863637,4.093099973648638,6.823570595207784e-05
140.0,-0.001889911958782175,4.092758190558102,7.348547913397859e-05
150.0,-0.0018902569277923667,4.092420054659267,7.873571369866544e-05
160.0,-0.0018905117320647522,4.092084915664766,8.398678128180034e-05
170.0,-0.001890569097771333,4.091752379696886,8.923828243435046e-05
180.0,-0.0018906855492234,4.091421842308361,9.449002499962093e-05
190.0,-0.0018905844049433623,4.09109304531176,9.974178882485254e-05
200.0,-0.0018905067095833499,4.090765840631776,0.0001049933042616952
210.0,-0.0018903596380933352,4.090440138095016,0.00011024450752235727
220.0,-0.001890233314766364,4.090115968581362,0.00011549533106799574
230.0,-0.0018901299570867362,4.08979343777583,0.00012074583561223615
240.0,-0.0018900690188745114,4.089472369535319,0.0001259961119677379
250.0,-0.0018900464628144261,4.089152859249087,0.00013124627235897254
260.0,-0.0018900378352530232,4.088834956749367,0.00013649638943962175
270.0,-0.001890151078802406,4.088518710091405,0.0001417466518202543
280.0,-0.0018922117107760697,4.08820383868333,0.00014699993347244662
290.0,-0.0018938635361660477,4.087890467705936,0.0001522583713154218
300.0,-0.001893613359935808,4.08757858475547,0.00015751875589334102
310.0,-0.0018899707711170222,4.08726817742818,0.00016277373385313663
320.0,-0.0018912752020372246,4.086957884538943,0.00016802546437140643
330.0,-0.001892738760160871,4.086648146398803,0.00017328103931890377
340.0,-0.0018940879392185409,4.086338783808768,0.00017854052084581963
350.0,-0.001895105063336939,4.0860296097820035,0.00018380328890492447
360.0,-0.0018954935635119236,4.085720440671543,0.00018906800921999234
370.0,-0.0018950499624754182,4.085411088887536,0.00019433265300608586
380.0,-0.0018935497952480282,4.085101367660232,0.0001995945971140351
390.0,-0.001890760624051093,4.084791090495773,0.0002048505838075061
400.0,-0.001901824339679272,4.084476552962306,0.00021011806292379825
410.0,-0.0019169539482084348,4.084158920190356,0.00021542192165697563
420.0,-0.0019296087025162487,4.083838916250488,0.00022076436978298215
430.0,-0.0019366811347919983,4.0835165411427035,0.0002261342167792436
440.0,-0.0019350646684352752,4.083191794866999,0.00023151164150594813
450.0,-0.0019216536445320403,4.082864677423378,0.00023686819471840275
460.0,-0.0018937281785161213,4.082535188811837,0.00024216733613930294
470.0,-0.0019540890903345727,4.0821855236814635,0.0002475115267904845
480.0,-0.001991557743000474,4.081833564217041,0.0002529915918367832
490.0,-0.001997273747972566,4.081481604752618,0.00025853163557424573
500.0,-0.0019762246356026026,4.081129645288195,0.0002640503833292113
510.0,-0.0019333962161861035,4.080777685823772,0.00026948041229002894
520.0,-0.0018737725255289553,4.0804257263593495,0.00027476814665352206
530.0,-0.0018611174160106405,4.0800625862203015,0.00027995549379454933
540.0,-0.0018700525137185446,4.0796940371070445,0.0002851376742525065
550.0,-0.0018771161907835388,4.079325487993787,0.0002903420752309817
560.0,-0.0018845449858132012,4.078957024099823,0.0002955666046429216
570.0,-0.0018707102502156573,4.078589472943125,0.0003007822369151839
580.0,-0.0018699347951421307,4.078221921786427,0.00030597757725595867
590.0,-0.0018871894785733748,4.077854370629729,0.0003111958054138968
600.0,-0.001883014563347116,4.07749154681384,0.00031643219991656416
610.0,-0.0018618248225063638,4.077133510611955,0.00032163336573024957
620.0,-0.0018735850175414992,4.07677547441007,0.00032682143495253827
630.0,-0.001923257947148554,4.0764174382081855,0.00033209482795905224
640.0,-0.0019221594635923836,4.076071543162088,0.00033743568547397025
650.0,-0.0019134997538444473,4.075732546820545,0.0003427629899426325
660.0,-0.001901728529504815,4.07539949569373,0.0003480619181139509
670.0,-0.0018909432752720766,4.075071679292028,0.00035332951784280774
680.0,-0.0018945936462583786,4.074747545901277,0.0003585872080116
690.0,-0.0018963630978871431,4.074428220501262,0.0003638524257118022
700.0,-0.0018924485021314182,4.07411370309198,0.0003691146640451613
710.0,-0.0018956465910717857,4.0738022950584325,0.0003743759072301657
720.0,-0.00190075491135261,4.073494139378164,0.00037964868709464405
730.0,-0.001899280597517705,4.073189716055601,0.00038492651419029723
740.0,-0.0018910514629002513,4.072888573396925,0.000390190864274211
750.0,-0.0018982450398551168,4.072587476894664,0.0003954537760835935
760.0,-0.0019010883964313866,4.072288414712497,0.0004007306280784358
770.0,-0.0018957814536213799,4.071991386850424,0.0004060040584257313
780.0,-0.001899105113492042,4.071693414505195,0.00041127473421338886
790.0,-0.0019171750166504966,4.071393061686254,0.0004165751232830313
800.0,-0.0019336215936258947,4.071092147401619,0.00042192345190841514
810.0,-0.0019446451623441187,4.070790671651292,0.0004273099335139291
820.0,-0.0019464477364830558,4.07048863443527,0.00043271422920674457
830.0,-0.0019354708307690906,4.0701860357535535,0.0004381057827723726
840.0,-0.0019111822915036246,4.069882875606145,0.0004434483565533069
850.0,-0.001887519210421654,4.069577125605821,0.0004487243308615364
860.0,-0.0018801473532994103,4.0692664798916365,0.0004539572010889268
870.0,-0.0018728857591768864,4.068953847858218,0.0004591697470784772
880.0,-0.0018673210306691303,4.068639229505564,0.00046436447873104107
890.0,-0.0018650390293080263,4.068322624833676,0.00046954831214767606
900.0,-0.0018676248649427533,4.06800403384255,0.00047473256755635766
910.0,-0.0018766628852484525,4.06768345653219,0.000479932967209401
