Seconds,Volts,Amps
0,3.103110607,0
10,3.103114775,0
20,3.103118256,0
30,3.103121011,0
40,3.103123729,0
50,3.103125593,0
60,3.103127366,0
70,3.103129139,0
80,3.103130912,0
90,3.103131958,0
100,3.10313283,0
110,3.103133702,0
120,3.103134575,0
130,3.103135447,0
140,3.10313632,0
150,3.103137192,0
160,3.103138064,0
170,3.103138577,0
180,3.103138865,0
190,3.103139153,0
200,3.103139441,0
210,3.103139729,0
220,3.103140017,0
230,3.103140305,0
240,3.103140593,0
250,3.103140881,0
260,3.103141169,0
270,3.103141458,0
280,3.103141746,0
290,3.103142034,0
300,3.103142322,0
310,3.10314261,0
320,3.103142898,0
330,3.103143135,0
340,3.103143203,0
350,3.10314327,0
360,3.103143338,0
370,3.103143406,0
380,3.103143474,0
390,3.103143542,0
400,3.10314361,0
410,3.103143677,0
420,3.103143745,0
430,3.103143813,0
440,3.103143881,0
450,3.103143949,0
460,3.103144017,0
470,3.103144084,0
480,3.103144152,0
490,3.10314422,0
500,3.103144288,0
510,3.103144356,0
520,3.103144423,0
530,3.103144491,0
540,3.103144559,0
550,3.103144627,0
560,3.103144695,0
570,3.103144763,0
580,3.10314483,0
590,3.103144898,0
600,3.103144966,0
600.001,3.105474241,0.00189
605.001,3.140660697,0.001889968
610.001,3.157887882,0.001889901
615.001,3.170922843,0.001889813
620.001,3.18177461,0.001889787
625.001,3.191204612,0.001889513
630.001,3.199640341,0.001890037
635.001,3.207310852,0.001889905
640.001,3.214386791,0.001889773
645.001,3.2209776,0.001889854
650.001,3.227157971,0.001889937
655.001,3.232986872,0.00189
660.001,3.238509507,0.001889883
665.001,3.243766985,0.001889981
670.001,3.24878313,0.001889973
675.001,3.253585349,0.001889934
680.001,3.25819632,0.001889849
685.001,3.262632477,0.001889773
690.001,3.266911838,0.001889806
695.001,3.27104377,0.001889778
700.001,3.275040852,0.001889788
705.001,3.278913655,0.001889894
710.001,3.282667458,0.001889923
715.001,3.286311425,0.001889938
720.001,3.289853742,0.001889991
725.001,3.293298154,0.001889931
730.001,3.296652695,0.001889864
735.001,3.29992461,0.001889886
740.001,3.303115273,0.001889854
745.001,3.30622816,0.001889733
750.001,3.309270356,0.001889667
755.001,3.312244951,0.001889649
760.001,3.315152466,0.001889567
765.001,3.317998829,0.00188956
770.001,3.320787437,0.001889661
775.001,3.323516799,0.001889642
780.001,3.326191866,0.001889643
785.001,3.328815427,0.001889693
790.001,3.331388539,0.001889734
795.001,3.333913375,0.001889775
800.001,3.336391959,0.001889825
805.001,3.338825989,0.001889881
810.001,3.341217009,0.001889936
815.001,3.343566416,0.001889982
820.001,3.345875601,0.001890023
825.001,3.348146049,0.001890094
830.001,3.350378574,0.001890154
835.001,3.352574078,0.001890186
840.001,3.354733326,0.001890172
845.001,3.356856944,0.001890086
850.001,3.358947302,0.001890002
855.001,3.361007284,0.001890024
860.001,3.363036091,0.00189006
865.001,3.365034615,0.001890114
870.001,3.367003687,0.001890185
875.001,3.36894408,0.001890272
880.001,3.370856231,0.001890336
885.001,3.372740607,0.001890348
890.001,3.374597882,0.001890313
895.001,3.3764285,0.001890212
900.001,3.378232838,0.001890022
900.002,3.376139861,0
900.102,3.375648525,0
900.202,3.375220579,0
900.302,3.374831736,0
900.402,3.37447332,0
900.502,3.374139644,0
900.602,3.373826478,0
900.702,3.373531065,0
900.802,3.373251254,0
900.902,3.372985602,0
901.002,3.372732457,0
901.102,3.372490085,0
901.202,3.37225712,0
901.302,3.372033676,0
901.402,3.371818421,0
901.502,3.37161042,0
901.602,3.371408426,0
901.702,3.371209976,0
901.802,3.37101712,0
901.902,3.370829856,0
902.002,3.37064813,0
902.102,3.370469848,0
902.202,3.370296305,0
902.302,3.3701275,0
902.402,3.369963433,0
902.502,3.369800365,0
902.602,3.369640243,0
902.702,3.36948327,0
902.802,3.369329448,0
902.902,3.369178777,0
903.002,3.369031255,0
903.102,3.368886884,0
903.202,3.368745663,0
903.302,3.368605854,0
903.402,3.368468139,0
903.502,3.368333052,0
903.602,3.368200591,0
903.702,3.368070758,0
903.802,3.367943552,0
903.902,3.367818973,0
904.002,3.367695212,0
904.102,3.367572317,0
904.202,3.367451285,0
904.302,3.367332117,0
904.402,3.367214813,0
904.502,3.367099372,0
904.602,3.366985795,0
904.702,3.366873309,0
904.802,3.366761533,0
904.902,3.366651198,0
905.002,3.366542302,0
905.102,3.366434847,0
905.202,3.366328832,0
905.302,3.366224256,0
905.402,3.36612075,0
905.502,3.366017796,0
905.602,3.365915996,0
905.702,3.365815352,0
905.802,3.365715862,0
905.902,3.365617526,0
906.002,3.365520346,0
906.102,3.36542424,0
906.202,3.365328895,0
906.302,3.365234529,0
906.402,3.365141119,0
906.502,3.365048645,0
906.602,3.364957085,0
906.702,3.364866419,0
906.802,3.364776625,0
906.902,3.364687681,0
907.002,3.364599568,0
907.102,3.364512262,0
907.202,3.364425744,0
907.302,3.364339993,0
907.402,3.364254986,0
907.502,3.364170703,0
907.602,3.364087095,0
907.702,3.36400416,0
907.802,3.363921879,0
907.902,3.363840229,0
908.002,3.363759189,0
908.102,3.363678737,0
908.202,3.363598851,0
908.302,3.36351951,0
908.402,3.363440692,0
908.502,3.363362376,0
908.602,3.363284538,0
908.702,3.363207159,0
908.802,3.363130216,0
908.902,3.363053688,0
909.002,3.362977991,0
909.102,3.362902976,0
909.202,3.362828451,0
909.302,3.362754402,0
909.402,3.362680817,0
909.502,3.362607683,0
909.602,3.362534986,0
909.702,3.362462713,0
909.802,3.362390853,0
909.902,3.362319392,0
910.002,3.362248316,0
910.003,3.364359185,0.00189
915.003,3.373149033,0.001890007
920.003,3.376886241,0.001890008
925.003,3.379688415,0.001890007
930.003,3.382092986,0.001889991
935.003,3.384282183,0.001889999
940.003,3.386323625,0.001889995
945.003,3.388259538,0.00189001
950.003,3.390114948,0.001890006
955.003,3.391914472,0.001889999
960.003,3.393663976,0.001890056
965.003,3.39537118,0.001890192
970.003,3.397042343,0.00189021
975.003,3.398675653,0.001890034
980.003,3.400281201,0.001890057
985.003,3.401856384,0.001890089
990.003,3.403403135,0.001890092
995.003,3.404927072,0.001890155
1000.003,3.406425044,0.001890145
1005.003,3.407902117,0.001890175
1010.003,3.409357457,0.001890177
1015.003,3.410791126,0.001890121
1020.003,3.412205758,0.001890097
1025.003,3.413601431,0.001890073
1030.003,3.414979038,0.001890059
1035.003,3.416339474,0.001890068
1040.003,3.417683171,0.001890081
1045.003,3.419009502,0.001890002
1050.003,3.420319998,0.001889895
1055.003,3.421615307,0.001889765
1060.003,3.422896079,0.001889615
1065.003,3.424162807,0.001889469
1070.003,3.425415493,0.001889405
1075.003,3.426655105,0.001889395
1080.003,3.427882214,0.001889455
1085.003,3.429097392,0.001889603
1090.003,3.430300432,0.001889803
1095.003,3.431487306,0.001889739
1100.003,3.432660813,0.001889591
1105.003,3.43382102,0.001889341
1110.003,3.43496799,0.001888973
1115.003,3.436102522,0.001888539
1120.003,3.437231234,0.00188866
1125.003,3.438351072,0.001889019
1130.003,3.439462776,0.001889668
1135.003,3.440567085,0.00189066
1140.003,3.441663596,0.001891938
1145.003,3.442734769,0.001891804
1150.003,3.443789915,0.001891129
1155.003,3.444828,0.001889791
1160.003,3.445847993,0.001887671
