Seconds,Volts,Amps
909.902,4.08410775,0
910.002,4.084112816,0
910.003,4.083225938,-0.001890002
915.003,4.082231272,-0.00189
920.003,4.081883219,-0.00189
925.003,4.081647542,-0.00189
930.003,4.081461097,-0.00189
935.003,4.081298119,-0.00189
940.003,4.081147642,-0.00189
945.003,4.081004502,-0.00189
950.003,4.08086588,-0.00189
955.003,4.080730412,-0.00189
960.003,4.08059715,-0.00189
965.003,4.080465483,-0.00189
970.003,4.080335006,-0.00189
975.003,4.080205359,-0.00189
980.003,4.080076123,-0.00189
985.003,4.079947268,-0.00189
990.003,4.079818861,-0.00189
995.003,4.079690812,-0.00189
1000.003,4.079563159,-0.00189
1005.003,4.079435733,-0.00189
1010.003,4.079308478,-0.00189
1015.003,4.079181451,-0.00189
1020.003,4.079054654,-0.00189
1025.003,4.078928085,-0.00189
1030.003,4.078801569,-0.00189
1035.003,4.078675188,-0.00189
1040.003,4.078548964,-0.00189
1045.003,4.078422897,-0.00189
1050.003,4.078296975,-0.00189
1055.003,4.078171007,-0.00189
1060.003,4.078045124,-0.00189
1065.003,4.077919326,-0.00189
1070.003,4.077793613,-0.00189
1075.003,4.077667957,-0.00189
1080.003,4.077542289,-0.00189
1085.003,4.077416667,-0.00189
1090.003,4.077291091,-0.00189
1095.003,4.07716556,-0.00189
1100.003,4.07704006,-0.00189
1105.003,4.076914576,-0.00189
1110.003,4.076789114,-0.00189
1115.003,4.076663673,-0.00189
1120.003,4.076538248,-0.00189
1125.003,4.076412846,-0.00189
1130.003,4.076287466,-0.00189
1135.003,4.076162102,-0.00189
1140.003,4.076036752,-0.00189
1145.003,4.075911414,-0.00189
1150.003,4.075786087,-0.00189
1155.003,4.075660767,-0.00189
1160.003,4.075535454,-0.00189
1165.003,4.075410146,-0.00189
1170.003,4.07528484,-0.00189
1175.003,4.075159545,-0.00189
1180.003,4.075034259,-0.00189
1185.003,4.07490898,-0.00189
1190.003,4.07478371,-0.00189
1195.003,4.074658448,-0.00189
1200.003,4.074533194,-0.00189
1205.003,4.074407949,-0.00189
1210.003,4.074282711,-0.00189
1210.004,4.075170863,0
1210.104,4.075267294,0
1210.204,4.075330243,0
1210.304,4.075380888,0
1210.404,4.075424609,0
1210.504,4.075463785,0
1210.604,4.07549981,0
1210.704,4.075533254,0
1210.804,4.075564413,0
1210.904,4.075593592,0
1211.004,4.075621087,0
1211.104,4.075647188,0
1211.204,4.075672133,0
1211.304,4.075695847,0
1211.404,4.075718555,0
1211.504,4.075740399,0
1211.604,4.075761556,0
1211.704,4.075782299,0
1211.804,4.075802383,0
1211.904,4.075821809,0
1212.004,4.075840581,0
1212.104,4.075858902,0
1212.204,4.075876648,0
1212.304,4.075893817,0
1212.404,4.07591041,0
1212.504,4.075926861,0
1212.604,4.075942944,0
1212.704,4.075958634,0
1212.804,4.075973933,0
1212.904,4.075988841,0
1213.004,4.076003356,0
1213.104,4.076017479,0
1213.204,4.076031211,0
1213.304,4.076044787,0
1213.404,4.076058114,0
1213.504,4.07607112,0
1213.604,4.076083806,0
1213.704,4.07609617,0
1213.804,4.076108214,0
1213.904,4.076119937,0
1214.004,4.076131522,0
1214.104,4.076143028,0
1214.204,4.076154305,0
1214.304,4.076165354,0
1214.404,4.076176173,0
1214.504,4.076186764,0
1214.604,4.076197125,0
1214.704,4.076207311,0
1214.804,4.076217437,0
1214.904,4.076227384,0
1215.004,4.076237153,0
1215.104,4.076246743,0
1215.204,4.076256155,0
1215.304,4.076265389,0
1215.404,4.07627445,0
1215.504,4.076283473,0
1215.604,4.076292352,0
1215.704,4.076301088,0
1215.804,4.07630968,0
1215.904,4.076318129,0
1216.004,4.076326435,0
1216.104,4.076334597,0
1216.204,4.07634266,0
1216.304,4.07635061,0
1216.404,4.07635844,0
1216.504,4.076366154,0
1216.604,4.076373754,0
1216.704,4.076381242,0
1216.804,4.076388622,0
1216.904,4.076395895,0
1217.004,4.076403066,0
1217.104,4.076410135,0
1217.204,4.076417107,0
1217.304,4.076423983,0
1217.404,4.076430767,0
1217.504,4.076437461,0
1217.604,4.076444066,0
1217.704,4.076450584,0
1217.804,4.07645702,0
1217.904,4.076463375,0
1218.004,4.076469653,0
1218.104,4.076475856,0
1218.204,4.076481987,0
1218.304,4.076488048,0
1218.404,4.076494041,0
1218.504,4.076499971,0
1218.604,4.076505838,0
1218.704,4.076511647,0
1218.804,4.076517398,0
1218.904,4.076523096,0
1219.004,4.076528742,0
1219.104,4.07653428,0
1219.204,4.076539751,0
1219.304,4.076545165,0
1219.404,4.076550523,0
1219.504,4.076555826,0
1219.604,4.076561076,0
1219.704,4.076566276,0
1219.804,4.076571426,0
1219.904,4.076576529,0
1220.004,4.076581586,0
1220.005,4.075692762,-0.001890002
1225.005,4.074700046,-0.00189
1230.005,4.074352939,-0.00189
1235.005,4.074118073,-0.00189
1240.005,4.073932373,-0.00189
1245.005,4.073770101,-0.00189
1250.005,4.073620303,-0.00189
1255.005,4.073477821,-0.00189
1260.005,4.073339845,-0.00189
1265.005,4.073205012,-0.00189
