Ah,SOC,Volts
0.0,0.0,3.4143861429887195
0.1334714285714224,0.002,3.4435905472565205
0.26694285714284477,0.004,3.4540301587740094
0.4004142857142672,0.006,3.4626437926760123
0.5338857142856896,0.008,3.4705024749979367
0.667357142857112,0.01,3.4776471705997762
0.8008285714285345,0.012,3.484118844341529
0.9342999999999567,0.014,3.4899584610831935
1.067771428571379,0.016,3.495206985684763
1.2012428571428018,0.018000000000000002,3.4999053817996337
1.334714285714224,0.02,3.504094419692749
1.4681857142856463,0.022,3.507814465390732
1.6016571428570687,0.024,3.5111058342106998
1.7351285714284912,0.026000000000000002,3.5140088414697734
1.8685999999999137,0.028,3.516563802485072
2.0020714285713357,0.03,3.518811032573712
2.1355428571427586,0.032,3.5207908470528175
2.2690142857141806,0.034,3.522543561239503
2.4024857142856035,0.036000000000000004,3.5241094904508907
2.5359571428570256,0.038,3.525528950004098
2.669428571428448,0.04,3.5268422552162444
2.8028999999998705,0.042,3.5280897214044495
2.9363714285712925,0.044,3.529305885868392
3.069842857142715,0.046,3.5304999881621035
3.2033142857141375,0.048,3.5316743462806746
3.33678571428556,0.05,3.5328312780464155
3.4702571428569824,0.052000000000000005,3.5339731012816413
3.6037285714284044,0.054,3.5351021338086617
3.737199999999827,0.056,3.536220693449791
3.87067142857125,0.058,3.53733109802734
4.004142857142671,0.06,3.5384356653636218
4.137614285714094,0.062,3.539536713280949
4.271085714285516,0.064,3.5406365596016327
4.404557142856939,0.066,3.541737522147985
4.538028571428361,0.068,3.5428419187423197
4.671499999999784,0.07,3.5439520672069484
4.804971428571207,0.07200000000000001,3.545070285364183
4.938442857142628,0.074,3.5461988910363353
5.071914285714051,0.076,3.5473402020457194
5.205385714285473,0.078,3.548496536214646
5.338857142856896,0.08,3.5496702113654273
5.472328571428319,0.082,3.550863545320376
5.605799999999741,0.084,3.552078431204162
5.739271428571164,0.08600000000000001,3.5533145393929586
5.872742857142585,0.088,3.5545708155288223
6.006214285714008,0.09,3.555846204854872
6.13968571428543,0.092,3.5571396526142243
6.273157142856853,0.094,3.558450104049998
6.406628571428275,0.096,3.559776504405311
6.540099999999698,0.098,3.561117798923281
6.67357142857112,0.1,3.5624729328470277
6.807042857142543,0.10200000000000001,3.5638408514196684
6.940514285713965,0.10400000000000001,3.5652204998843198
7.073985714285387,0.106,3.566610823484101
7.207457142856809,0.108,3.568010767462131
7.340928571428232,0.11,3.5694192770615256
7.474399999999654,0.112,3.570835297525404
7.607871428571077,0.114,3.572257774096885
7.7413428571425,0.116,3.573685652019086
7.874814285713922,0.11800000000000001,3.575117876535124
8.008285714285343,0.12,3.576553392888119
8.141757142856767,0.122,3.577991146321188
8.275228571428189,0.124,3.579430082077448
8.40869999999961,0.126,3.5808691454000194
8.542171428571033,0.128,3.5823072815320196
8.675642857142456,0.13,3.5837434357165647
8.809114285713878,0.132,3.5851765531967748
8.9425857142853,0.134,3.586605579215767
9.076057142856722,0.136,3.5880294590166586
9.209528571428146,0.138,3.5894471378425696
9.342999999999568,0.14,3.5908575609366173
9.47647142857099,0.14200000000000002,3.59225967354192
9.609942857142412,0.14400000000000002,3.5936524209015945
9.743414285713833,0.146,3.5950347482587586
9.876885714285256,0.148,3.596405600856533
10.010357142856678,0.15,3.5977639239380346
10.143828571428102,0.152,3.5991086627463793
10.277299999999524,0.154,3.6004387625246865
10.410771428570946,0.156,3.6017532760526896
10.54424285714237,0.158,3.603052028019613
10.677714285713792,0.16,3.6043351803422876
10.811185714285214,0.162,3.6056028963495836
10.944657142856636,0.164,3.606855339370369
11.07812857142806,0.166,3.608092672733511
11.211599999999482,0.168,3.6093150597678805
11.345071428570904,0.17,3.6105226638023433
11.478542857142326,0.17200000000000001,3.611715648165771
11.61201428571375,0.17400000000000002,3.6128941761870315
11.74548571428517,0.176,3.6140584111949923
11.878957142856592,0.178,3.615208516518523
12.012428571428014,0.18,3.616344655486491
12.145899999999436,0.182,3.617466991427766
12.27937142857086,0.184,3.6185756876712167
12.412842857142282,0.186,3.6196709075457103
12.546314285713704,0.188,3.6207528143801175
12.679785714285128,0.19,3.621821571503306
12.81325714285655,0.192,3.6228773422441454
12.946728571427972,0.194,3.6239202899315024
13.080199999999394,0.196,3.6249505778942464
13.213671428570818,0.198,3.6259683694612477
13.34714285714224,0.2,3.626973827961373
13.480614285713662,0.202,3.6279671167234913
13.614085714285084,0.20400000000000001,3.6289483990764713
13.747557142856508,0.20600000000000002,3.629917838349182
13.88102857142793,0.20800000000000002,3.6308755978704905
14.01449999999935,0.21,3.6318218409692675
14.147971428570774,0.212,3.632756730974381
14.281442857142196,0.214,3.6336804312147
14.414914285713618,0.216,3.6345931050190923
14.548385714285041,0.218,3.6354949157164262
14.681857142856463,0.22,3.6363860266355714
14.815328571427886,0.222,3.637266601105397
14.948799999999308,0.224,3.638136802454769
15.08227142857073,0.226,3.6389967940125585
15.215742857142153,0.228,3.6398467391076346
15.349214285713575,0.23,3.640686801068862
15.482685714284997,0.232,3.6415171432251148
15.616157142856421,0.234,3.642337928905258
15.749628571427843,0.23600000000000002,3.6431493214381616
15.883099999999265,0.23800000000000002,3.643951484152693
16.016571428570685,0.24,3.644744580377722
16.15004285714211,0.242,3.645528773442117
16.283514285713533,0.244,3.6463042266747463
16.416985714284955,0.246,3.6470711034044787
16.550457142856377,0.248,3.6478295669601835
16.6839285714278,0.25,3.6485797806707287
16.81739999999922,0.252,3.649321907864983
16.950871428570643,0.254,3.650056111871814
17.08434285714207,0.256,3.6507825560200917
17.21781428571349,0.258,3.6515014036386844
