SOC,Volts
0.0,0.75913763
0.002004008,0.651879022
0.004008016,0.59671296
0.006012024,0.555423563
0.008016032,0.521583934
0.01002004,0.492752402
0.012024048,0.467588844
0.014028056,0.445199024
0.016032064,0.424969431
0.018036072,0.40653962
0.02004008,0.389583264
0.022044088,0.373887487
0.024048096,0.359252739
0.026052104,0.345547649
0.028056112,0.332707972
0.03006012,0.320592293
0.032064128,0.309164449
0.034068136,0.29829942
0.036072144,0.288006496
0.038076152,0.27818534
0.04008016,0.268859697
0.042084168,0.259965068
0.044088176,0.251492606
0.046092184,0.243403524
0.048096192,0.235732008
0.0501002,0.228464366
0.052104208,0.221631811
0.054108216,0.215416281
0.056112224,0.209893457
0.058116232,0.205247815
0.06012024,0.201536985
0.062124248,0.19879005
0.064128257,0.196903507
0.066132265,0.195494363
0.068136273,0.19432453
0.070140281,0.193254364
0.072144289,0.192231035
0.074148297,0.191221074
0.078156313,0.189299547
0.082164329,0.187423276
0.086172345,0.1856234
0.090180361,0.18380499
0.094188377,0.181981051
0.098196393,0.18007527
0.102204409,0.178105822
0.104208417,0.177102293
0.106212425,0.176043781
0.108216433,0.174970812
0.110220441,0.173885072
0.112224449,0.172753953
0.114228457,0.171622979
0.116232465,0.170454699
0.118236473,0.16927709
0.120240481,0.168068408
0.122244489,0.166845216
0.124248497,0.165609275
0.126252505,0.164347533
0.128256513,0.163089818
0.130260521,0.161805383
0.132264529,0.160504636
0.134268537,0.159206381
0.136272545,0.157885747
0.138276553,0.15655882
0.140280561,0.155229578
0.142284569,0.153887439
0.144288577,0.152554643
0.146292585,0.151234387
0.148296593,0.149915238
0.150300601,0.148626848
0.152304609,0.147346944
0.154308617,0.146119131
0.156312625,0.144902308
0.158316633,0.143726177
0.160320641,0.142574878
0.162324649,0.141488735
0.164328657,0.140418632
0.166332665,0.139384533
0.168336673,0.138369989
0.172344689,0.136439824
0.176352705,0.134525733
0.180360721,0.132657929
0.184368737,0.130813464
0.188376754,0.128972547
0.19238477,0.127155137
0.196392786,0.125354282
0.200400802,0.123587331
0.204408818,0.121859468
0.208416834,0.120221012
0.21242485,0.118652864
0.216432866,0.117183844
0.220440882,0.115786155
0.224448898,0.114469337
0.228456914,0.113218268
0.23246493,0.112036356
0.236472946,0.110977716
0.24248497,0.109583033
0.248496994,0.108410255
0.256513026,0.107180383
0.266533066,0.105956462
0.278557114,0.104781945
0.290581162,0.103776884
0.304609218,0.102714462
0.320641283,0.101613
0.336673347,0.100544568
0.352705411,0.099479012
0.368737475,0.098403772
0.384769539,0.09727429
0.398797595,0.096258062
0.412825651,0.095161037
0.426853707,0.093995075
0.438877756,0.092907019
0.450901804,0.091715301
0.460921844,0.090644087
0.470941884,0.089463821
0.478957916,0.088441689
0.486973948,0.087328449
0.49498998,0.086123697
0.503006012,0.084830474
0.509018036,0.083757197
0.51503006,0.082641746
0.521042084,0.081423883
0.527054108,0.080166871
0.533066132,0.07883759
0.539078156,0.077467942
0.54509018,0.076072661
0.551102204,0.074752077
0.557114228,0.073512405
0.563126253,0.072428342
0.571142285,0.071249926
0.581162325,0.070113109
0.593186373,0.069020712
0.607214429,0.067856933
0.621242485,0.066787884
0.635270541,0.065701531
0.649298597,0.06457183
0.663326653,0.063428227
0.675350701,0.062419859
0.687374749,0.061334231
0.69739479,0.060324838
0.70741483,0.059259656
0.71743487,0.058136829
0.72745491,0.056989924
0.73747495,0.055864409
0.74749499,0.054791107
0.759519038,0.053631006
0.771543086,0.052428538
0.783567134,0.051276676
0.795591182,0.050153759
0.80761523,0.049015765
0.821643287,0.047874986
0.833667335,0.046770672
0.845691383,0.04567386
0.855711423,0.044650878
0.865731463,0.043482813
0.875751503,0.042178758
0.883767535,0.041122457
0.891783567,0.039950457
0.899799599,0.038718025
0.907815631,0.037390629
0.913827655,0.036292332
0.919839679,0.035009451
0.925851703,0.033673148
0.931863727,0.032285002
0.935871743,0.031235887
0.93987976,0.030183461
0.943887776,0.028998555
0.947895792,0.02771042
0.951903808,0.026372636
0.955911824,0.024958785
0.95991984,0.023395952
0.963927856,0.021753063
0.967935872,0.019950905
0.971943888,0.018035392
0.975951904,0.016030884
0.977955912,0.014910603
0.97995992,0.013768215
0.981963928,0.012601116
0.983967936,0.011364565
0.985971944,0.010159499
0.987975952,0.008811439
0.98997996,0.007477233
0.991983968,0.006078772
0.993987976,0.004621481
0.995991984,0.003118815
0.997995992,0.001563491
1.0,-2.15e-06
